YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES,temperature,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,sport_game,city-wide_event,concert_event,sport_game_attendence_day_weekday(nofri),sport_game_attendence_night_weekday(nofri),sport_game_attendence_fri,sport_game_attendence_sat,sport_game_attendence_sun
2019,1,1/1/2019,16,Red Line - North Side,Addison-North Main,1420,3956,31.5,1,,,,,,1,,,,,,0,0,0,0,0
2019,1,1/2/2019,16,Red Line - North Side,Addison-North Main,1420,4759,29.5,1,,,,,,,,,,,,0,0,0,0,0
2019,1,1/3/2019,16,Red Line - North Side,Addison-North Main,1420,5329,33,1,,,,,,,,,,,,0,0,0,0,0
2019,1,1/4/2019,16,Red Line - North Side,Addison-North Main,1420,5515,41,,,,,,,,,,,,,,,0,0,0
2019,1,1/5/2019,16,Red Line - North Side,Addison-North Main,1420,3716,42,,,,,,,,,,,,,,,0,0,0
2019,1,1/6/2019,16,Red Line - North Side,Addison-North Main,1420,2989,39.5,,,,,,,,,,,,,,,0,0,0
2019,1,1/7/2019,16,Red Line - North Side,Addison-North Main,1420,5939,48,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/8/2019,16,Red Line - North Side,Addison-North Main,1420,6254,36.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/9/2019,16,Red Line - North Side,Addison-North Main,1420,6014,21.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/10/2019,16,Red Line - North Side,Addison-North Main,1420,6155,20,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/11/2019,16,Red Line - North Side,Addison-North Main,1420,6134,26.5,,,,,,,,,,,,,,,0,0,0
2019,1,1/12/2019,16,Red Line - North Side,Addison-North Main,1420,3509,31,,,,,,,,,,,,,,,0,0,0
2019,1,1/13/2019,16,Red Line - North Side,Addison-North Main,1420,2836,29.5,,,,,,,,,,,,,,,0,0,0
2019,1,1/14/2019,16,Red Line - North Side,Addison-North Main,1420,6101,24.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/15/2019,16,Red Line - North Side,Addison-North Main,1420,6411,29,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/16/2019,16,Red Line - North Side,Addison-North Main,1420,6182,32,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/17/2019,16,Red Line - North Side,Addison-North Main,1420,6439,32.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/18/2019,16,Red Line - North Side,Addison-North Main,1420,6448,30.5,,,,,,,,,,,,,,,0,0,0
2019,1,1/19/2019,16,Red Line - North Side,Addison-North Main,1420,3389,22,,,,,,,,,,,,,,,0,0,0
2019,1,1/20/2019,16,Red Line - North Side,Addison-North Main,1420,2713,12.5,,,,,,,,,,,,,,,0,0,0
2019,1,1/21/2019,16,Red Line - North Side,Addison-North Main,1420,3712,11.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/22/2019,16,Red Line - North Side,Addison-North Main,1420,6222,24.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/23/2019,16,Red Line - North Side,Addison-North Main,1420,6314,28,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/24/2019,16,Red Line - North Side,Addison-North Main,1420,6207,13,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/25/2019,16,Red Line - North Side,Addison-North Main,1420,5186,1,,,,,,,,,,,,,,,0,0,0
2019,1,1/26/2019,16,Red Line - North Side,Addison-North Main,1420,3059,4,,,,,,,,,,,,,,,0,0,0
2019,1,1/27/2019,16,Red Line - North Side,Addison-North Main,1420,2397,5,,,,,,,,,,,,,,,0,0,0
2019,1,1/28/2019,16,Red Line - North Side,Addison-North Main,1420,6072,22,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/29/2019,16,Red Line - North Side,Addison-North Main,1420,5128,1,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/30/2019,16,Red Line - North Side,Addison-North Main,1420,576,-15.5,,,,,,,,,,,,,0,0,0,0,0
2019,1,1/31/2019,16,Red Line - North Side,Addison-North Main,1420,1908,-9,,,,,,,,,,,,,0,0,0,0,0
2019,2,2/1/2019,16,Red Line - North Side,Addison-North Main,1420,5685,11.5,,,,,,,,,,,,,,,0,0,0
2019,2,2/2/2019,16,Red Line - North Side,Addison-North Main,1420,3620,28,,,,,,,,,,,,,,,0,0,0
2019,2,2/3/2019,16,Red Line - North Side,Addison-North Main,1420,2974,43.5,,,,,,,,,,,,,,,0,0,0
2019,2,2/4/2019,16,Red Line - North Side,Addison-North Main,1420,6280,40.5,,,,,,,,,,,,,0,0,0,0,0
2019,2,2/5/2019,16,Red Line - North Side,Addison-North Main,1420,6322,30.5,,,,,,,,,,,,,0,0,0,0,0
2019,2,2/6/2019,16,Red Line - North Side,Addison-North Main,1420,6459,35.5,,,,,,,,,,,,,0,0,0,0,0
2019,2,2/7/2019,16,Red Line - North Side,Addison-North Main,1420,6406,28.5,,,,,,,,,,,,,0,0,0,0,0
2019,2,2/8/2019,16,Red Line - North Side,Addison-North Main,1420,5864,10,,,,,,,,,,,,,,,0,0,0
2019,2,2/9/2019,16,Red Line - North Side,Addison-North Main,1420,3773,16.5,,,,,,,,,,,,,,,0,0,0
