YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES
2019,3,3/27/2019,16,Red Line - North Side,Addison-North Main,1420,4929
2019,3,3/28/2019,16,Red Line - North Side,Addison-North Main,1420,5119
2019,3,3/29/2019,16,Red Line - North Side,Addison-North Main,1420,4720
2019,3,3/30/2019,16,Red Line - North Side,Addison-North Main,1420,40
2019,3,3/31/2019,16,Red Line - North Side,Addison-North Main,1420,61
2019,4,4/1/2019,16,Red Line - North Side,Addison-North Main,1420,5365
2019,4,4/2/2019,16,Red Line - North Side,Addison-North Main,1420,5916
2019,4,4/3/2019,16,Red Line - North Side,Addison-North Main,1420,6149
2019,4,4/4/2019,16,Red Line - North Side,Addison-North Main,1420,6242
2019,4,4/5/2019,16,Red Line - North Side,Addison-North Main,1420,6149
2019,4,4/6/2019,16,Red Line - North Side,Addison-North Main,1420,5302
2019,4,4/7/2019,16,Red Line - North Side,Addison-North Main,1420,3177
2019,4,4/8/2019,16,Red Line - North Side,Addison-North Main,1420,14425
2019,4,4/9/2019,16,Red Line - North Side,Addison-North Main,1420,6362
2019,4,4/10/2019,16,Red Line - North Side,Addison-North Main,1420,10064
2019,4,4/11/2019,16,Red Line - North Side,Addison-North Main,1420,10336
2019,4,4/12/2019,16,Red Line - North Side,Addison-North Main,1420,11177
2019,4,4/13/2019,16,Red Line - North Side,Addison-North Main,1420,11886
2019,4,4/14/2019,16,Red Line - North Side,Addison-North Main,1420,2699
2019,4,4/15/2019,16,Red Line - North Side,Addison-North Main,1420,5782
2019,4,4/16/2019,16,Red Line - North Side,Addison-North Main,1420,6072
2019,4,4/17/2019,16,Red Line - North Side,Addison-North Main,1420,6128
2019,4,4/18/2019,16,Red Line - North Side,Addison-North Main,1420,6224
2019,4,4/19/2019,16,Red Line - North Side,Addison-North Main,1420,10877
2019,4,4/20/2019,16,Red Line - North Side,Addison-North Main,1420,8520
2019,4,4/21/2019,16,Red Line - North Side,Addison-North Main,1420,8807
2019,4,4/22/2019,16,Red Line - North Side,Addison-North Main,1420,5754
2019,4,4/23/2019,16,Red Line - North Side,Addison-North Main,1420,11953
2019,4,4/24/2019,16,Red Line - North Side,Addison-North Main,1420,12396
2019,4,4/25/2019,16,Red Line - North Side,Addison-North Main,1420,13377
2019,4,4/26/2019,16,Red Line - North Side,Addison-North Main,1420,6628
2019,4,4/27/2019,16,Red Line - North Side,Addison-North Main,1420,3653
2019,4,4/28/2019,16,Red Line - North Side,Addison-North Main,1420,3063
2019,4,4/29/2019,16,Red Line - North Side,Addison-North Main,1420,5679
2019,4,4/30/2019,16,Red Line - North Side,Addison-North Main,1420,5829
2019,5,5/1/2019,16,Red Line - North Side,Addison-North Main,1420,6378
2019,5,5/2/2019,16,Red Line - North Side,Addison-North Main,1420,6330
2019,5,5/3/2019,16,Red Line - North Side,Addison-North Main,1420,13137
2019,5,5/4/2019,16,Red Line - North Side,Addison-North Main,1420,11843
2019,5,5/5/2019,16,Red Line - North Side,Addison-North Main,1420,10036
2019,5,5/6/2019,16,Red Line - North Side,Addison-North Main,1420,11210
2019,5,5/7/2019,16,Red Line - North Side,Addison-North Main,1420,10421
2019,5,5/8/2019,16,Red Line - North Side,Addison-North Main,1420,10992
2019,5,5/9/2019,16,Red Line - North Side,Addison-North Main,1420,11056
2019,5,5/10/2019,16,Red Line - North Side,Addison-North Main,1420,14016
2019,5,5/11/2019,16,Red Line - North Side,Addison-North Main,1420,12318
2019,5,5/12/2019,16,Red Line - North Side,Addison-North Main,1420,7398
2019,5,5/13/2019,16,Red Line - North Side,Addison-North Main,1420,6030
2019,5,5/14/2019,16,Red Line - North Side,Addison-North Main,1420,6439
2019,5,5/15/2019,16,Red Line - North Side,Addison-North Main,1420,6566
2019,5,5/16/2019,16,Red Line - North Side,Addison-North Main,1420,6349
2019,5,5/17/2019,16,Red Line - North Side,Addison-North Main,1420,6400
2019,5,5/18/2019,16,Red Line - North Side,Addison-North Main,1420,4761
2019,5,5/19/2019,16,Red Line - North Side,Addison-North Main,1420,3600
2019,5,5/20/2019,16,Red Line - North Side,Addison-North Main,1420,10735
2019,5,5/21/2019,16,Red Line - North Side,Addison-North Main,1420,9805
2019,5,5/22/2019,16,Red Line - North Side,Addison-North Main,1420,11341
2019,5,5/23/2019,16,Red Line - North Side,Addison-North Main,1420,12139
2019,5,5/24/2019,16,Red Line - North Side,Addison-North Main,1420,10810
2019,5,5/25/2019,16,Red Line - North Side,Addison-North Main,1420,9890
2019,5,5/26/2019,16,Red Line - North Side,Addison-North Main,1420,12251
2019,5,5/27/2019,16,Red Line - North Side,Addison-North Main,1420,2641
2019,5,5/28/2019,16,Red Line - North Side,Addison-North Main,1420,6060
2019,5,5/29/2019,16,Red Line - North Side,Addison-North Main,1420,6386
2019,5,5/30/2019,16,Red Line - North Side,Addison-North Main,1420,6759
2019,5,5/31/2019,16,Red Line - North Side,Addison-North Main,1420,6808
2019,6,6/1/2019,16,Red Line - North Side,Addison-North Main,1420,5059
2019,6,6/2/2019,16,Red Line - North Side,Addison-North Main,1420,4123
2019,6,6/3/2019,16,Red Line - North Side,Addison-North Main,1420,12676
2019,6,6/4/2019,16,Red Line - North Side,Addison-North Main,1420,12273
2019,6,6/5/2019,16,Red Line - North Side,Addison-North Main,1420,12881
2019,6,6/6/2019,16,Red Line - North Side,Addison-North Main,1420,14041
2019,6,6/7/2019,16,Red Line - North Side,Addison-North Main,1420,15802
2019,6,6/8/2019,16,Red Line - North Side,Addison-North Main,1420,13512
2019,6,6/9/2019,16,Red Line - North Side,Addison-North Main,1420,10553
2019,6,6/10/2019,16,Red Line - North Side,Addison-North Main,1420,6417
2019,6,6/11/2019,16,Red Line - North Side,Addison-North Main,1420,6677
2019,6,6/12/2019,16,Red Line - North Side,Addison-North Main,1420,6515
2019,6,6/13/2019,16,Red Line - North Side,Addison-North Main,1420,6888
2019,6,6/14/2019,16,Red Line - North Side,Addison-North Main,1420,13213
2019,6,6/15/2019,16,Red Line - North Side,Addison-North Main,1420,12001
2019,6,6/16/2019,16,Red Line - North Side,Addison-North Main,1420,4721
2019,6,6/17/2019,16,Red Line - North Side,Addison-North Main,1420,6397
2019,6,6/18/2019,16,Red Line - North Side,Addison-North Main,1420,14322
2019,6,6/19/2019,16,Red Line - North Side,Addison-North Main,1420,14185
2019,6,6/20/2019,16,Red Line - North Side,Addison-North Main,1420,14181
2019,6,6/21/2019,16,Red Line - North Side,Addison-North Main,1420,16661
2019,6,6/22/2019,16,Red Line - North Side,Addison-North Main,1420,19820
2019,6,6/23/2019,16,Red Line - North Side,Addison-North Main,1420,13795
2019,6,6/24/2019,16,Red Line - North Side,Addison-North Main,1420,13543
2019,6,6/25/2019,16,Red Line - North Side,Addison-North Main,1420,13242
2019,6,6/26/2019,16,Red Line - North Side,Addison-North Main,1420,14798
2019,6,6/27/2019,16,Red Line - North Side,Addison-North Main,1420,15849
2019,6,6/28/2019,16,Red Line - North Side,Addison-North Main,1420,6574
2019,6,6/29/2019,16,Red Line - North Side,Addison-North Main,1420,5215
2019,6,6/30/2019,16,Red Line - North Side,Addison-North Main,1420,15800
2019,7,7/1/2019,16,Red Line - North Side,Addison-North Main,1420,6263
2019,7,7/2/2019,16,Red Line - North Side,Addison-North Main,1420,6217
2019,7,7/3/2019,16,Red Line - North Side,Addison-North Main,1420,5992
2019,7,7/4/2019,16,Red Line - North Side,Addison-North Main,1420,3968
2019,7,7/5/2019,16,Red Line - North Side,Addison-North Main,1420,4881
2019,7,7/6/2019,16,Red Line - North Side,Addison-North Main,1420,5067
2019,7,7/7/2019,16,Red Line - North Side,Addison-North Main,1420,3678
2019,7,7/8/2019,16,Red Line - North Side,Addison-North Main,1420,5866
2019,7,7/9/2019,16,Red Line - North Side,Addison-North Main,1420,6363
2019,7,7/10/2019,16,Red Line - North Side,Addison-North Main,1420,6488
2019,7,7/11/2019,16,Red Line - North Side,Addison-North Main,1420,6649
2019,7,7/12/2019,16,Red Line - North Side,Addison-North Main,1420,16156
2019,7,7/13/2019,16,Red Line - North Side,Addison-North Main,1420,13029
2019,7,7/14/2019,16,Red Line - North Side,Addison-North Main,1420,11968
2019,7,7/15/2019,16,Red Line - North Side,Addison-North Main,1420,12974
2019,7,7/16/2019,16,Red Line - North Side,Addison-North Main,1420,13957
2019,7,7/17/2019,16,Red Line - North Side,Addison-North Main,1420,14502
2019,7,7/18/2019,16,Red Line - North Side,Addison-North Main,1420,6427
2019,7,7/19/2019,16,Red Line - North Side,Addison-North Main,1420,15414
2019,7,7/20/2019,16,Red Line - North Side,Addison-North Main,1420,13885
2019,7,7/21/2019,16,Red Line - North Side,Addison-North Main,1420,12350
2019,7,7/22/2019,16,Red Line - North Side,Addison-North Main,1420,6287
2019,7,7/23/2019,16,Red Line - North Side,Addison-North Main,1420,6542
2019,7,7/24/2019,16,Red Line - North Side,Addison-North Main,1420,6555
