YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES
2019,2,2/13/2019,185,Orange Line,Midway Airport,930,7733
2019,2,2/14/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10484
2019,2,2/14/2019,185,Orange Line,Midway Airport,930,8092
2019,2,2/15/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11185
2019,2,2/15/2019,185,Orange Line,Midway Airport,930,7929
2019,2,2/16/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7630
2019,2,2/16/2019,185,Orange Line,Midway Airport,930,3198
2019,2,2/17/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6977
2019,2,2/17/2019,185,Orange Line,Midway Airport,930,2350
2019,2,2/18/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10986
2019,2,2/18/2019,185,Orange Line,Midway Airport,930,5847
2019,2,2/19/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9666
2019,2,2/19/2019,185,Orange Line,Midway Airport,930,8100
2019,2,2/20/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8681
2019,2,2/20/2019,185,Orange Line,Midway Airport,930,7565
2019,2,2/21/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10246
2019,2,2/21/2019,185,Orange Line,Midway Airport,930,8157
2019,2,2/22/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10495
2019,2,2/22/2019,185,Orange Line,Midway Airport,930,7844
2019,2,2/23/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6967
2019,2,2/23/2019,185,Orange Line,Midway Airport,930,2881
2019,2,2/24/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8470
2019,2,2/24/2019,185,Orange Line,Midway Airport,930,2203
2019,2,2/25/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10004
2019,2,2/25/2019,185,Orange Line,Midway Airport,930,7823
2019,2,2/26/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8791
2019,2,2/26/2019,185,Orange Line,Midway Airport,930,7512
2019,2,2/27/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8800
2019,2,2/27/2019,185,Orange Line,Midway Airport,930,7665
2019,2,2/28/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9964
2019,2,2/28/2019,185,Orange Line,Midway Airport,930,7607
2019,3,3/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10968
2019,3,3/1/2019,185,Orange Line,Midway Airport,930,7465
2019,3,3/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7762
2019,3,3/2/2019,185,Orange Line,Midway Airport,930,3109
2019,3,3/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9041
2019,3,3/3/2019,185,Orange Line,Midway Airport,930,2559
2019,3,3/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9690
2019,3,3/4/2019,185,Orange Line,Midway Airport,930,7155
2019,3,3/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9056
2019,3,3/5/2019,185,Orange Line,Midway Airport,930,7483
2019,3,3/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9209
2019,3,3/6/2019,185,Orange Line,Midway Airport,930,7663
2019,3,3/7/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10067
2019,3,3/7/2019,185,Orange Line,Midway Airport,930,7861
2019,3,3/8/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10756
2019,3,3/8/2019,185,Orange Line,Midway Airport,930,7877
2019,3,3/9/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7786
2019,3,3/9/2019,185,Orange Line,Midway Airport,930,3307
2019,3,3/10/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9013
2019,3,3/10/2019,185,Orange Line,Midway Airport,930,2737
2019,3,3/11/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10814
2019,3,3/11/2019,185,Orange Line,Midway Airport,930,7965
2019,3,3/12/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8008
2019,3,3/12/2019,185,Orange Line,Midway Airport,930,7977
2019,3,3/13/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9413
2019,3,3/13/2019,185,Orange Line,Midway Airport,930,7885
2019,3,3/14/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11424
2019,3,3/14/2019,185,Orange Line,Midway Airport,930,8376
2019,3,3/15/2019,55,Blue Line - O'Hare,O'Hare Airport,890,14877
2019,3,3/15/2019,185,Orange Line,Midway Airport,930,9085
2019,3,3/16/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8914
2019,3,3/16/2019,185,Orange Line,Midway Airport,930,5711
2019,3,3/17/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9290
2019,3,3/17/2019,185,Orange Line,Midway Airport,930,2936
2019,3,3/18/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10964
2019,3,3/18/2019,185,Orange Line,Midway Airport,930,8111
2019,3,3/19/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9457
2019,3,3/19/2019,185,Orange Line,Midway Airport,930,7914
2019,3,3/20/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9601
2019,3,3/20/2019,185,Orange Line,Midway Airport,930,7842
2019,3,3/21/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10714
2019,3,3/21/2019,185,Orange Line,Midway Airport,930,8253
2019,3,3/22/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11365
2019,3,3/22/2019,185,Orange Line,Midway Airport,930,8101
2019,3,3/23/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8563
2019,3,3/23/2019,185,Orange Line,Midway Airport,930,3837
2019,3,3/24/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9318
2019,3,3/24/2019,185,Orange Line,Midway Airport,930,3150
2019,3,3/25/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10673
2019,3,3/25/2019,185,Orange Line,Midway Airport,930,7613
2019,3,3/26/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9459
2019,3,3/26/2019,185,Orange Line,Midway Airport,930,7782
2019,3,3/27/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9996
2019,3,3/27/2019,185,Orange Line,Midway Airport,930,7931
2019,3,3/28/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10633
2019,3,3/28/2019,185,Orange Line,Midway Airport,930,7895
2019,3,3/29/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11066
2019,3,3/29/2019,185,Orange Line,Midway Airport,930,7907
2019,3,3/30/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7580
2019,3,3/30/2019,185,Orange Line,Midway Airport,930,3443
2019,3,3/31/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9350
2019,3,3/31/2019,185,Orange Line,Midway Airport,930,2973
2019,4,4/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11269
2019,4,4/1/2019,185,Orange Line,Midway Airport,930,8318
2019,4,4/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10224
2019,4,4/2/2019,185,Orange Line,Midway Airport,930,8109
2019,4,4/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10692
2019,4,4/3/2019,185,Orange Line,Midway Airport,930,8297
2019,4,4/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11930
2019,4,4/4/2019,185,Orange Line,Midway Airport,930,8349
2019,4,4/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12293
2019,4,4/5/2019,185,Orange Line,Midway Airport,930,8175
2019,4,4/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8208
2019,4,4/6/2019,185,Orange Line,Midway Airport,930,3841
2019,4,4/7/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10082
2019,4,4/7/2019,185,Orange Line,Midway Airport,930,3031
2019,4,4/8/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12150
2019,4,4/8/2019,185,Orange Line,Midway Airport,930,8896
2019,4,4/9/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10622
2019,4,4/9/2019,185,Orange Line,Midway Airport,930,8341
2019,4,4/10/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8096
2019,4,4/10/2019,185,Orange Line,Midway Airport,930,8494
2019,4,4/11/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11657
2019,4,4/11/2019,185,Orange Line,Midway Airport,930,8522
2019,4,4/12/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11942
2019,4,4/12/2019,185,Orange Line,Midway Airport,930,8618
2019,4,4/13/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8519
2019,4,4/13/2019,185,Orange Line,Midway Airport,930,3824
2019,4,4/14/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7941
2019,4,4/14/2019,185,Orange Line,Midway Airport,930,2231
2019,4,4/15/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11928
2019,4,4/15/2019,185,Orange Line,Midway Airport,930,8117
2019,4,4/16/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10910
2019,4,4/16/2019,185,Orange Line,Midway Airport,930,7772
2019,4,4/17/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10740
2019,4,4/17/2019,185,Orange Line,Midway Airport,930,7701
2019,4,4/18/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12932
2019,4,4/18/2019,185,Orange Line,Midway Airport,930,8158
2019,4,4/19/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11815
2019,4,4/19/2019,185,Orange Line,Midway Airport,930,7036
2019,4,4/20/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8485
2019,4,4/20/2019,185,Orange Line,Midway Airport,930,3602
2019,4,4/21/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11617
2019,4,4/21/2019,185,Orange Line,Midway Airport,930,3548
2019,4,4/22/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12694
2019,4,4/22/2019,185,Orange Line,Midway Airport,930,8880
2019,4,4/23/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10945
2019,4,4/23/2019,185,Orange Line,Midway Airport,930,8568
2019,4,4/24/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10904
2019,4,4/24/2019,185,Orange Line,Midway Airport,930,8535
2019,4,4/25/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11923
2019,4,4/25/2019,185,Orange Line,Midway Airport,930,8784
2019,4,4/26/2019,55,Blue Line - O'Hare,O'Hare Airport,890,12401
2019,4,4/26/2019,185,Orange Line,Midway Airport,930,8574
2019,4,4/27/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8004
2019,4,4/27/2019,185,Orange Line,Midway Airport,930,2866
2019,4,4/28/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10661
2019,4,4/28/2019,185,Orange Line,Midway Airport,930,3308
