TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Tampa Bay Rays,Chicago White Sox,"Saturday, April 29, 2023",Start Time: 6:10 p.m. Local,"Attendance: 28,462",Venue: Guaranteed Rate Field,Game Duration: 2:53,https://www.baseball-reference.com//boxes/CHA/CHA202304290.shtml
Tampa Bay Rays,Chicago White Sox,"Sunday, April 30, 2023",Start Time: 1:10 p.m. Local,"Attendance: 17,049",Venue: Guaranteed Rate Field,Game Duration: 3:24,https://www.baseball-reference.com//boxes/CHA/CHA202304300.shtml
Minnesota Twins,Chicago White Sox,"Tuesday, May 2, 2023",Start Time: 6:10 p.m. Local,"Attendance: 13,094",Venue: Guaranteed Rate Field,Game Duration: 2:44,https://www.baseball-reference.com//boxes/CHA/CHA202305020.shtml
Minnesota Twins,Chicago White Sox,"Wednesday, May 3, 2023",Start Time: 6:10 p.m. Local,"Attendance: 11,468",Venue: Guaranteed Rate Field,Game Duration: 2:42,https://www.baseball-reference.com//boxes/CHA/CHA202305030.shtml
Minnesota Twins,Chicago White Sox,"Thursday, May 4, 2023",Start Time: 1:10 p.m. Local,"Attendance: 14,650",Venue: Guaranteed Rate Field,Game Duration: 3:37,https://www.baseball-reference.com//boxes/CHA/CHA202305040.shtml
Miami Marlins,Chicago Cubs,"Friday, May 5, 2023",Start Time: 1:20 p.m. Local,"Attendance: 31,181",Venue: Wrigley Field,Game Duration: 2:09,https://www.baseball-reference.com//boxes/CHN/CHN202305050.shtml
Miami Marlins,Chicago Cubs,"Saturday, May 6, 2023",Start Time: 1:20 p.m. Local,"Attendance: 36,418",Venue: Wrigley Field,Game Duration: 2:45,https://www.baseball-reference.com//boxes/CHN/CHN202305060.shtml
Miami Marlins,Chicago Cubs,"Sunday, May 7, 2023",Start Time: 1:20 p.m. Local,"Attendance: 38,196",Venue: Wrigley Field,Game Duration: 3:49,https://www.baseball-reference.com//boxes/CHN/CHN202305070.shtml
St. Louis Cardinals,Chicago Cubs,"Monday, May 8, 2023",Start Time: 6:40 p.m. Local,"Attendance: 30,937",Venue: Wrigley Field,Game Duration: 2:57,https://www.baseball-reference.com//boxes/CHN/CHN202305080.shtml
St. Louis Cardinals,Chicago Cubs,"Tuesday, May 9, 2023",Start Time: 6:40 p.m. Local,"Attendance: 32,693",Venue: Wrigley Field,Game Duration: 3:00,https://www.baseball-reference.com//boxes/CHN/CHN202305090.shtml
St. Louis Cardinals,Chicago Cubs,"Wednesday, May 10, 2023",Start Time: 6:40 p.m. Local,"Attendance: 36,413",Venue: Wrigley Field,Game Duration: 2:31,https://www.baseball-reference.com//boxes/CHN/CHN202305100.shtml
Houston Astros,Chicago White Sox,"Friday, May 12, 2023",Start Time: 7:10 p.m. Local,"Attendance: 18,673",Venue: Guaranteed Rate Field,Game Duration: 2:39,https://www.baseball-reference.com//boxes/CHA/CHA202305120.shtml
Houston Astros,Chicago White Sox,"Saturday, May 13, 2023",Start Time: 6:15 p.m. Local,"Attendance: 23,242",Venue: Guaranteed Rate Field,Game Duration: 2:37,https://www.baseball-reference.com//boxes/CHA/CHA202305130.shtml
Houston Astros,Chicago White Sox,"Sunday, May 14, 2023",Start Time: 1:10 p.m. Local,"Attendance: 18,347",Venue: Guaranteed Rate Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHA/CHA202305140.shtml
Cleveland Guardians,Chicago White Sox,"Tuesday, May 16, 2023",Start Time: 7:10 p.m. Local,"Attendance: 18,459",Venue: Guaranteed Rate Field,Game Duration: 2:24,https://www.baseball-reference.com//boxes/CHA/CHA202305160.shtml
Cleveland Guardians,Chicago White Sox,"Wednesday, May 17, 2023",Start Time: 7:10 p.m. Local,"Attendance: 12,241",Venue: Guaranteed Rate Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHA/CHA202305170.shtml
Cleveland Guardians,Chicago White Sox,"Thursday, May 18, 2023",Start Time: 1:10 p.m. Local,"Attendance: 11,900",Venue: Guaranteed Rate Field,Game Duration: 2:17,https://www.baseball-reference.com//boxes/CHA/CHA202305180.shtml
Kansas City Royals,Chicago White Sox,"Friday, May 19, 2023",Start Time: 7:10 p.m. Local,"Attendance: 20,329",Venue: Guaranteed Rate Field,Game Duration: 2:06,https://www.baseball-reference.com//boxes/CHA/CHA202305190.shtml
Kansas City Royals,Chicago White Sox,"Saturday, May 20, 2023",Start Time: 1:10 p.m. Local,"Attendance: 23,984",Venue: Guaranteed Rate Field,Game Duration: 2:21,https://www.baseball-reference.com//boxes/CHA/CHA202305200.shtml
Kansas City Royals,Chicago White Sox,"Sunday, May 21, 2023",Start Time: 1:10 p.m. Local,"Attendance: 23,556",Venue: Guaranteed Rate Field,Game Duration: 2:26,https://www.baseball-reference.com//boxes/CHA/CHA202305210.shtml
New York Mets,Chicago Cubs,"Tuesday, May 23, 2023",Start Time: 6:40 p.m. Local,"Attendance: 35,958",Venue: Wrigley Field,Game Duration: 2:46,https://www.baseball-reference.com//boxes/CHN/CHN202305230.shtml
New York Mets,Chicago Cubs,"Wednesday, May 24, 2023",Start Time: 6:40 p.m. Local,"Attendance: 33,636",Venue: Wrigley Field,Game Duration: 2:19,https://www.baseball-reference.com//boxes/CHN/CHN202305240.shtml
New York Mets,Chicago Cubs,"Thursday, May 25, 2023",Start Time: 6:40 p.m. Local,"Attendance: 35,446",Venue: Wrigley Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHN/CHN202305250.shtml
Cincinnati Reds,Chicago Cubs,"Friday, May 26, 2023",Start Time: 1:20 p.m. Local,"Attendance: 31,946",Venue: Wrigley Field,Game Duration: 2:41,https://www.baseball-reference.com//boxes/CHN/CHN202305260.shtml
Cincinnati Reds,Chicago Cubs,"Saturday, May 27, 2023",Start Time: 6:15 p.m. Local,"Attendance: 36,372",Venue: Wrigley Field,Game Duration: 2:57,https://www.baseball-reference.com//boxes/CHN/CHN202305270.shtml
Cincinnati Reds,Chicago Cubs,"Sunday, May 28, 2023",Start Time: 1:20 p.m. Local,"Attendance: 40,551",Venue: Wrigley Field,Game Duration: 3:15,https://www.baseball-reference.com//boxes/CHN/CHN202305280.shtml
Los Angeles Angels,Chicago White Sox,"Monday, May 29, 2023",Start Time: 7:10 p.m. Local,"Attendance: 23,599",Venue: Guaranteed Rate Field,Game Duration: 2:49,https://www.baseball-reference.com//boxes/CHA/CHA202305290.shtml
Tampa Bay Rays,Chicago Cubs,"Monday, May 29, 2023",Start Time: 1:20 p.m. Local,"Attendance: 38,163",Venue: Wrigley Field,Game Duration: 2:05,https://www.baseball-reference.com//boxes/CHN/CHN202305290.shtml
Los Angeles Angels,Chicago White Sox,"Tuesday, May 30, 2023",Start Time: 7:10 p.m. Local,"Attendance: 22,135",Venue: Guaranteed Rate Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHA/CHA202305300.shtml
Tampa Bay Rays,Chicago Cubs,"Tuesday, May 30, 2023",Start Time: 7:05 p.m. Local,"Attendance: 31,762",Venue: Wrigley Field,Game Duration: 2:20,https://www.baseball-reference.com//boxes/CHN/CHN202305300.shtml
Los Angeles Angels,Chicago White Sox,"Wednesday, May 31, 2023",Start Time: 1:10 p.m. Local,"Attendance: 17,015",Venue: Guaranteed Rate Field,Game Duration: 2:47,https://www.baseball-reference.com//boxes/CHA/CHA202305310.shtml
Tampa Bay Rays,Chicago Cubs,"Wednesday, May 31, 2023",Start Time: 1:20 p.m. Local,"Attendance: 29,360",Venue: Wrigley Field,Game Duration: 2:53,https://www.baseball-reference.com//boxes/CHN/CHN202305310.shtml
Detroit Tigers,Chicago White Sox,"Friday, June 2, 2023",Start Time: 7:10 p.m. Local,"Attendance: 20,229",Venue: Guaranteed Rate Field,Game Duration: 2:32,https://www.baseball-reference.com//boxes/CHA/CHA202306020.shtml
Detroit Tigers,Chicago White Sox,"Saturday, June 3, 2023",Start Time: 1:10 p.m. Local,"Attendance: 24,674",Venue: Guaranteed Rate Field,Game Duration: 2:42,https://www.baseball-reference.com//boxes/CHA/CHA202306030.shtml
Detroit Tigers,Chicago White Sox,"Sunday, June 4, 2023",Start Time: 1:10 p.m. Local,"Attendance: 23,372",Venue: Guaranteed Rate Field,Game Duration: 2:29,https://www.baseball-reference.com//boxes/CHA/CHA202306040.shtml
Miami Marlins,Chicago White Sox,"Friday, June 9, 2023",Start Time: 7:10 p.m. Local,"Attendance: 21,033",Venue: Guaranteed Rate Field,Game Duration: 2:27,https://www.baseball-reference.com//boxes/CHA/CHA202306090.shtml
Miami Marlins,Chicago White Sox,"Saturday, June 10, 2023",Start Time: 1:10 p.m. Local,"Attendance: 25,793",Venue: Guaranteed Rate Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHA/CHA202306100.shtml
Miami Marlins,Chicago White Sox,"Sunday, June 11, 2023",Start Time: 1:10 p.m. Local,"Attendance: 20,888",Venue: Guaranteed Rate Field,Game Duration: 2:37,https://www.baseball-reference.com//boxes/CHA/CHA202306110.shtml
Pittsburgh Pirates,Chicago Cubs,"Tuesday, June 13, 2023",Start Time: 7:05 p.m. Local,"Attendance: 33,740",Venue: Wrigley Field,Game Duration: 2:41,https://www.baseball-reference.com//boxes/CHN/CHN202306130.shtml
Pittsburgh Pirates,Chicago Cubs,"Wednesday, June 14, 2023",Start Time: 7:05 p.m. Local,"Attendance: 30,832",Venue: Wrigley Field,Game Duration: 2:49,https://www.baseball-reference.com//boxes/CHN/CHN202306140.shtml
Pittsburgh Pirates,Chicago Cubs,"Thursday, June 15, 2023",Start Time: 7:05 p.m. Local,"Attendance: 32,881",Venue: Wrigley Field,Game Duration: 2:46,https://www.baseball-reference.com//boxes/CHN/CHN202306150.shtml
Baltimore Orioles,Chicago Cubs,"Friday, June 16, 2023",Start Time: 1:20 p.m. Local,"Attendance: 37,515",Venue: Wrigley Field,Game Duration: 2:46,https://www.baseball-reference.com//boxes/CHN/CHN202306160.shtml
Baltimore Orioles,Chicago Cubs,"Saturday, June 17, 2023",Start Time: 1:20 p.m. Local,"Attendance: 40,605",Venue: Wrigley Field,Game Duration: 2:32,https://www.baseball-reference.com//boxes/CHN/CHN202306170.shtml
Baltimore Orioles,Chicago Cubs,"Sunday, June 18, 2023",Start Time: 12:05 p.m. Local,"Attendance: 40,121",Venue: Wrigley Field,Game Duration: 2:46,https://www.baseball-reference.com//boxes/CHN/CHN202306180.shtml
Texas Rangers,Chicago White Sox,"Monday, June 19, 2023",Start Time: 7:10 p.m. Local,"Attendance: 19,554",Venue: Guaranteed Rate Field,Game Duration: 2:47,https://www.baseball-reference.com//boxes/CHA/CHA202306190.shtml
Texas Rangers,Chicago White Sox,"Tuesday, June 20, 2023",Start Time: 7:10 p.m. Local,"Attendance: 21,048",Venue: Guaranteed Rate Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHA/CHA202306200.shtml
Texas Rangers,Chicago White Sox,"Wednesday, June 21, 2023",Start Time: 7:10 p.m. Local,"Attendance: 18,963",Venue: Guaranteed Rate Field,Game Duration: 2:26,https://www.baseball-reference.com//boxes/CHA/CHA202306210.shtml
Boston Red Sox,Chicago White Sox,"Friday, June 23, 2023",Start Time: 7:10 p.m. Local,"Attendance: 27,015",Venue: Guaranteed Rate Field,Game Duration: 2:27,https://www.baseball-reference.com//boxes/CHA/CHA202306230.shtml
Boston Red Sox,Chicago White Sox,"Saturday, June 24, 2023",Start Time: 3:10 p.m. Local,"Attendance: 33,054",Venue: Guaranteed Rate Field,Game Duration: 2:46,https://www.baseball-reference.com//boxes/CHA/CHA202306240.shtml
Boston Red Sox,Chicago White Sox,"Sunday, June 25, 2023",Start Time: 1:10 p.m. Local,"Attendance: 26,077",Venue: Guaranteed Rate Field,Game Duration: 2:36,https://www.baseball-reference.com//boxes/CHA/CHA202306250.shtml
Philadelphia Phillies,Chicago Cubs,"Tuesday, June 27, 2023",Start Time: 7:05 p.m. Local,"Attendance: 37,072",Venue: Wrigley Field,Game Duration: 2:24,https://www.baseball-reference.com//boxes/CHN/CHN202306270.shtml
Philadelphia Phillies,Chicago Cubs,"Wednesday, June 28, 2023",Start Time: 7:05 p.m. Local,"Attendance: 32,379",Venue: Wrigley Field,Game Duration: 3:00,https://www.baseball-reference.com//boxes/CHN/CHN202306280.shtml
Philadelphia Phillies,Chicago Cubs,"Thursday, June 29, 2023",Start Time: 7:05 p.m. Local,"Attendance: 35,090",Venue: Wrigley Field,Game Duration: 2:11,https://www.baseball-reference.com//boxes/CHN/CHN202306290.shtml
Cleveland Guardians,Chicago Cubs,"Friday, June 30, 2023",Start Time: 1:20 p.m. Local,"Attendance: 32,230",Venue: Wrigley Field,Game Duration: 2:36,https://www.baseball-reference.com//boxes/CHN/CHN202306300.shtml
Cleveland Guardians,Chicago Cubs,"Saturday, July 1, 2023",Start Time: 6:15 p.m. Local,"Attendance: 34,342",Venue: Wrigley Field,Game Duration: 2:53,https://www.baseball-reference.com//boxes/CHN/CHN202307010.shtml
Cleveland Guardians,Chicago Cubs,"Sunday, July 2, 2023",Start Time: 4:05 p.m. Local,"Attendance: 38,392",Venue: Wrigley Field,Game Duration: 2:58,https://www.baseball-reference.com//boxes/CHN/CHN202307020.shtml
Toronto Blue Jays,Chicago White Sox,"Tuesday, July 4, 2023",Start Time: 7:10 p.m. Local,"Attendance: 32,607",Venue: Guaranteed Rate Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHA/CHA202307040.shtml
Toronto Blue Jays,Chicago White Sox,"Thursday, July 6, 2023",Start Time: 4:10 p.m. Local,,Venue: Guaranteed Rate Field,Game Duration: 3:05,https://www.baseball-reference.com//boxes/CHA/CHA202307061.shtml
Toronto Blue Jays,Chicago White Sox,"Thursday, July 6, 2023",Start Time: 8:00 p.m. Local,"Attendance: 20,258",Venue: Guaranteed Rate Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHA/CHA202307062.shtml
St. Louis Cardinals,Chicago White Sox,"Friday, July 7, 2023",Start Time: 7:10 p.m. Local,"Attendance: 27,569",Venue: Guaranteed Rate Field,Game Duration: 2:57,https://www.baseball-reference.com//boxes/CHA/CHA202307070.shtml
St. Louis Cardinals,Chicago White Sox,"Saturday, July 8, 2023",Start Time: 1:10 p.m. Local,"Attendance: 26,560",Venue: Guaranteed Rate Field,Game Duration: 2:28,https://www.baseball-reference.com//boxes/CHA/CHA202307080.shtml
St. Louis Cardinals,Chicago White Sox,"Sunday, July 9, 2023",Start Time: 1:10 p.m. Local,"Attendance: 29,769",Venue: Guaranteed Rate Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHA/CHA202307090.shtml
Boston Red Sox,Chicago Cubs,"Friday, July 14, 2023",Start Time: 7:05 p.m. Local,"Attendance: 37,597",Venue: Wrigley Field,Game Duration: 2:47,https://www.baseball-reference.com//boxes/CHN/CHN202307140.shtml
Boston Red Sox,Chicago Cubs,"Saturday, July 15, 2023",Start Time: 1:20 p.m. Local,"Attendance: 40,224",Venue: Wrigley Field,Game Duration: 2:35,https://www.baseball-reference.com//boxes/CHN/CHN202307150.shtml
Boston Red Sox,Chicago Cubs,"Sunday, July 16, 2023",Start Time: 1:20 p.m. Local,"Attendance: 37,812",Venue: Wrigley Field,Game Duration: 2:39,https://www.baseball-reference.com//boxes/CHN/CHN202307160.shtml
Washington Nationals,Chicago Cubs,"Monday, July 17, 2023",Start Time: 7:05 p.m. Local,"Attendance: 29,383",Venue: Wrigley Field,Game Duration: 2:44,https://www.baseball-reference.com//boxes/CHN/CHN202307170.shtml
Washington Nationals,Chicago Cubs,"Tuesday, July 18, 2023",Start Time: 7:05 p.m. Local,"Attendance: 28,636",Venue: Wrigley Field,Game Duration: 2:50,https://www.baseball-reference.com//boxes/CHN/CHN202307180.shtml
Washington Nationals,Chicago Cubs,"Wednesday, July 19, 2023",Start Time: 7:05 p.m. Local,"Attendance: 28,197",Venue: Wrigley Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHN/CHN202307190.shtml
St. Louis Cardinals,Chicago Cubs,"Thursday, July 20, 2023",Start Time: 7:05 p.m. Local,"Attendance: 34,251",Venue: Wrigley Field,Game Duration: 2:58,https://www.baseball-reference.com//boxes/CHN/CHN202307200.shtml
St. Louis Cardinals,Chicago Cubs,"Friday, July 21, 2023",Start Time: 1:20 p.m. Local,"Attendance: 38,819",Venue: Wrigley Field,Game Duration: 2:48,https://www.baseball-reference.com//boxes/CHN/CHN202307210.shtml
St. Louis Cardinals,Chicago Cubs,"Saturday, July 22, 2023",Start Time: 1:20 p.m. Local,"Attendance: 40,425",Venue: Wrigley Field,Game Duration: 3:15,https://www.baseball-reference.com//boxes/CHN/CHN202307220.shtml
St. Louis Cardinals,Chicago Cubs,"Sunday, July 23, 2023",Start Time: 1:20 p.m. Local,"Attendance: 38,223",Venue: Wrigley Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHN/CHN202307230.shtml
Chicago Cubs,Chicago White Sox,"Tuesday, July 25, 2023",Start Time: 7:10 p.m. Local,"Attendance: 37,079",Venue: Guaranteed Rate Field,Game Duration: 2:42,https://www.baseball-reference.com//boxes/CHA/CHA202307250.shtml
Chicago Cubs,Chicago White Sox,"Wednesday, July 26, 2023",Start Time: 7:10 p.m. Local,"Attendance: 37,214",Venue: Guaranteed Rate Field,Game Duration: 3:18,https://www.baseball-reference.com//boxes/CHA/CHA202307260.shtml
Cleveland Guardians,Chicago White Sox,"Thursday, July 27, 2023",Start Time: 7:10 p.m. Local,"Attendance: 20,893",Venue: Guaranteed Rate Field,Game Duration: 2:49,https://www.baseball-reference.com//boxes/CHA/CHA202307270.shtml
Cleveland Guardians,Chicago White Sox,"Friday, July 28, 2023",Start Time: 6:10 p.m. Local,"Attendance: 26,654",Venue: Guaranteed Rate Field,Game Duration: 2:29,https://www.baseball-reference.com//boxes/CHA/CHA202307280.shtml
Cleveland Guardians,Chicago White Sox,"Saturday, July 29, 2023",Start Time: 6:10 p.m. Local,"Attendance: 26,299",Venue: Guaranteed Rate Field,Game Duration: 2:26,https://www.baseball-reference.com//boxes/CHA/CHA202307290.shtml
Cleveland Guardians,Chicago White Sox,"Sunday, July 30, 2023",Start Time: 1:10 p.m. Local,"Attendance: 28,096",Venue: Guaranteed Rate Field,Game Duration: 2:21,https://www.baseball-reference.com//boxes/CHA/CHA202307300.shtml
Cincinnati Reds,Chicago Cubs,"Monday, July 31, 2023",Start Time: 7:05 p.m. Local,"Attendance: 34,688",Venue: Wrigley Field,Game Duration: 2:51,https://www.baseball-reference.com//boxes/CHN/CHN202307310.shtml
Cincinnati Reds,Chicago Cubs,"Tuesday, August 1, 2023",Start Time: 7:05 p.m. Local,"Attendance: 33,452",Venue: Wrigley Field,Game Duration: 2:54,https://www.baseball-reference.com//boxes/CHN/CHN202308010.shtml
Cincinnati Reds,Chicago Cubs,"Wednesday, August 2, 2023",Start Time: 7:05 p.m. Local,"Attendance: 33,991",Venue: Wrigley Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHN/CHN202308020.shtml
Cincinnati Reds,Chicago Cubs,"Thursday, August 3, 2023",Start Time: 7:05 p.m. Local,"Attendance: 35,615",Venue: Wrigley Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHN/CHN202308030.shtml
Atlanta Braves,Chicago Cubs,"Friday, August 4, 2023",Start Time: 1:20 p.m. Local,"Attendance: 36,225",Venue: Wrigley Field,Game Duration: 2:09,https://www.baseball-reference.com//boxes/CHN/CHN202308040.shtml
Atlanta Braves,Chicago Cubs,"Saturday, August 5, 2023",Start Time: 1:20 p.m. Local,"Attendance: 40,201",Venue: Wrigley Field,Game Duration: 3:10,https://www.baseball-reference.com//boxes/CHN/CHN202308050.shtml
Atlanta Braves,Chicago Cubs,"Sunday, August 6, 2023",Start Time: 1:20 p.m. Local,"Attendance: 39,015",Venue: Wrigley Field,Game Duration: 2:52,https://www.baseball-reference.com//boxes/CHN/CHN202308060.shtml
New York Yankees,Chicago White Sox,"Monday, August 7, 2023",Start Time: 7:10 p.m. Local,"Attendance: 27,574",Venue: Guaranteed Rate Field,Game Duration: 2:40,https://www.baseball-reference.com//boxes/CHA/CHA202308070.shtml
New York Yankees,Chicago White Sox,"Tuesday, August 8, 2023",Start Time: 7:10 p.m. Local,"Attendance: 26,446",Venue: Guaranteed Rate Field,Game Duration: 2:47,https://www.baseball-reference.com//boxes/CHA/CHA202308080.shtml
New York Yankees,Chicago White Sox,"Wednesday, August 9, 2023",Start Time: 7:10 p.m. Local,"Attendance: 23,377",Venue: Guaranteed Rate Field,Game Duration: 2:45,https://www.baseball-reference.com//boxes/CHA/CHA202308090.shtml
Milwaukee Brewers,Chicago White Sox,"Friday, August 11, 2023",Start Time: 7:10 p.m. Local,"Attendance: 30,059",Venue: Guaranteed Rate Field,Game Duration: 3:23,https://www.baseball-reference.com//boxes/CHA/CHA202308110.shtml
Milwaukee Brewers,Chicago White Sox,"Saturday, August 12, 2023",Start Time: 6:15 p.m. Local,"Attendance: 29,851",Venue: Guaranteed Rate Field,Game Duration: 2:33,https://www.baseball-reference.com//boxes/CHA/CHA202308120.shtml
Milwaukee Brewers,Chicago White Sox,"Sunday, August 13, 2023",Start Time: 1:10 p.m. Local,"Attendance: 24,495",Venue: Guaranteed Rate Field,Game Duration: 2:41,https://www.baseball-reference.com//boxes/CHA/CHA202308130.shtml
