TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Milwaukee Brewers,Chicago Cubs,"Thursday, March 30, 2023",Start Time: 1:20 p.m. Local,"Attendance: 36,054",Venue: Wrigley Field,Game Duration: 2:21,https://www.baseball-reference.com//boxes/CHN/CHN202303300.shtml
Milwaukee Brewers,Chicago Cubs,"Saturday, April 1, 2023",Start Time: 1:20 p.m. Local,"Attendance: 31,363",Venue: Wrigley Field,Game Duration: 2:32,https://www.baseball-reference.com//boxes/CHN/CHN202304010.shtml
Milwaukee Brewers,Chicago Cubs,"Sunday, April 2, 2023",Start Time: 1:20 p.m. Local,"Attendance: 33,266",Venue: Wrigley Field,Game Duration: 2:57,https://www.baseball-reference.com//boxes/CHN/CHN202304020.shtml
San Francisco Giants,Chicago White Sox,"Monday, April 3, 2023",Start Time: 2:10 p.m. Local,"Attendance: 34,784",Venue: Guaranteed Rate Field,Game Duration: 2:36,https://www.baseball-reference.com//boxes/CHA/CHA202304030.shtml
San Francisco Giants,Chicago White Sox,"Wednesday, April 5, 2023",Start Time: 1:10 p.m. Local,"Attendance: 15,980",Venue: Guaranteed Rate Field,Game Duration: 2:49,https://www.baseball-reference.com//boxes/CHA/CHA202304050.shtml
San Francisco Giants,Chicago White Sox,"Thursday, April 6, 2023",Start Time: 1:10 p.m. Local,"Attendance: 18,261",Venue: Guaranteed Rate Field,Game Duration: 2:50,https://www.baseball-reference.com//boxes/CHA/CHA202304060.shtml
Texas Rangers,Chicago Cubs,"Friday, April 7, 2023",Start Time: 1:20 p.m. Local,"Attendance: 29,094",Venue: Wrigley Field,Game Duration: 2:17,https://www.baseball-reference.com//boxes/CHN/CHN202304070.shtml
Texas Rangers,Chicago Cubs,"Saturday, April 8, 2023",Start Time: 3:05 p.m. Local,"Attendance: 33,578",Venue: Wrigley Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHN/CHN202304080.shtml
Texas Rangers,Chicago Cubs,"Sunday, April 9, 2023",Start Time: 1:20 p.m. Local,"Attendance: 28,807",Venue: Wrigley Field,Game Duration: 2:31,https://www.baseball-reference.com//boxes/CHN/CHN202304090.shtml
Seattle Mariners,Chicago Cubs,"Monday, April 10, 2023",Start Time: 6:40 p.m. Local,"Attendance: 26,766",Venue: Wrigley Field,Game Duration: 2:38,https://www.baseball-reference.com//boxes/CHN/CHN202304100.shtml
Seattle Mariners,Chicago Cubs,"Tuesday, April 11, 2023",Start Time: 6:40 p.m. Local,"Attendance: 30,081",Venue: Wrigley Field,Game Duration: 3:02,https://www.baseball-reference.com//boxes/CHN/CHN202304110.shtml
Seattle Mariners,Chicago Cubs,"Wednesday, April 12, 2023",Start Time: 1:20 p.m. Local,"Attendance: 26,944",Venue: Wrigley Field,Game Duration: 2:31,https://www.baseball-reference.com//boxes/CHN/CHN202304120.shtml
Baltimore Orioles,Chicago White Sox,"Friday, April 14, 2023",Start Time: 6:10 p.m. Local,"Attendance: 18,941",Venue: Guaranteed Rate Field,Game Duration: 2:58,https://www.baseball-reference.com//boxes/CHA/CHA202304140.shtml
Baltimore Orioles,Chicago White Sox,"Saturday, April 15, 2023",Start Time: 1:10 p.m. Local,"Attendance: 32,091",Venue: Guaranteed Rate Field,Game Duration: 3:21,https://www.baseball-reference.com//boxes/CHA/CHA202304150.shtml
Baltimore Orioles,Chicago White Sox,"Sunday, April 16, 2023",Start Time: 1:10 p.m. Local,"Attendance: 13,794",Venue: Guaranteed Rate Field,Game Duration: 2:46,https://www.baseball-reference.com//boxes/CHA/CHA202304160.shtml
Philadelphia Phillies,Chicago White Sox,"Tuesday, April 18, 2023",Start Time: 3:10 p.m. Local,,Venue: Guaranteed Rate Field,Game Duration: 2:43,https://www.baseball-reference.com//boxes/CHA/CHA202304181.shtml
Philadelphia Phillies,Chicago White Sox,"Tuesday, April 18, 2023",Start Time: 6:40 p.m. Local,"Attendance: 12,542",Venue: Guaranteed Rate Field,Game Duration: 2:09,https://www.baseball-reference.com//boxes/CHA/CHA202304182.shtml
Philadelphia Phillies,Chicago White Sox,"Wednesday, April 19, 2023",Start Time: 1:10 p.m. Local,"Attendance: 10,149",Venue: Guaranteed Rate Field,Game Duration: 2:23,https://www.baseball-reference.com//boxes/CHA/CHA202304190.shtml
Los Angeles Dodgers,Chicago Cubs,"Thursday, April 20, 2023",Start Time: 6:40 p.m. Local,"Attendance: 32,817",Venue: Wrigley Field,Game Duration: 2:53,https://www.baseball-reference.com//boxes/CHN/CHN202304200.shtml
Los Angeles Dodgers,Chicago Cubs,"Friday, April 21, 2023",Start Time: 1:20 p.m. Local,"Attendance: 30,381",Venue: Wrigley Field,Game Duration: 2:39,https://www.baseball-reference.com//boxes/CHN/CHN202304210.shtml
Los Angeles Dodgers,Chicago Cubs,"Saturday, April 22, 2023",Start Time: 1:20 p.m. Local,"Attendance: 35,076",Venue: Wrigley Field,Game Duration: 2:55,https://www.baseball-reference.com//boxes/CHN/CHN202304220.shtml
Los Angeles Dodgers,Chicago Cubs,"Sunday, April 23, 2023",Start Time: 1:20 p.m. Local,"Attendance: 33,494",Venue: Wrigley Field,Game Duration: 2:22,https://www.baseball-reference.com//boxes/CHN/CHN202304230.shtml
San Diego Padres,Chicago Cubs,"Tuesday, April 25, 2023",Start Time: 6:40 p.m. Local,"Attendance: 27,956",Venue: Wrigley Field,Game Duration: 2:52,https://www.baseball-reference.com//boxes/CHN/CHN202304250.shtml
San Diego Padres,Chicago Cubs,"Wednesday, April 26, 2023",Start Time: 6:40 p.m. Local,"Attendance: 28,955",Venue: Wrigley Field,Game Duration: 2:47,https://www.baseball-reference.com//boxes/CHN/CHN202304260.shtml
Tampa Bay Rays,Chicago White Sox,"Thursday, April 27, 2023",Start Time: 6:10 p.m. Local,"Attendance: 11,060",Venue: Guaranteed Rate Field,Game Duration: 2:44,https://www.baseball-reference.com//boxes/CHA/CHA202304270.shtml
San Diego Padres,Chicago Cubs,"Thursday, April 27, 2023",Start Time: 1:20 p.m. Local,"Attendance: 26,588",Venue: Wrigley Field,Game Duration: 2:30,https://www.baseball-reference.com//boxes/CHN/CHN202304270.shtml
Tampa Bay Rays,Chicago White Sox,"Friday, April 28, 2023",Start Time: 6:10 p.m. Local,"Attendance: 16,681",Venue: Guaranteed Rate Field,Game Duration: 2:36,https://www.baseball-reference.com//boxes/CHA/CHA202304280.shtml
