TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Cleveland Guardians,Chicago Cubs,7/1/2023,18:15,34342,Wrigley Field,2:53,https://www.baseball-reference.com//boxes/CHN/CHN202307010.shtml
Cleveland Guardians,Chicago Cubs,7/2/2023,16:05,38392,Wrigley Field,2:58,https://www.baseball-reference.com//boxes/CHN/CHN202307020.shtml
Boston Red Sox,Chicago Cubs,7/14/2023,19:05,37597,Wrigley Field,2:47,https://www.baseball-reference.com//boxes/CHN/CHN202307140.shtml
Boston Red Sox,Chicago Cubs,7/15/2023,13:20,40224,Wrigley Field,2:35,https://www.baseball-reference.com//boxes/CHN/CHN202307150.shtml
Boston Red Sox,Chicago Cubs,7/16/2023,13:20,37812,Wrigley Field,2:39,https://www.baseball-reference.com//boxes/CHN/CHN202307160.shtml
Washington Nationals,Chicago Cubs,7/17/2023,19:05,29383,Wrigley Field,2:44,https://www.baseball-reference.com//boxes/CHN/CHN202307170.shtml
Washington Nationals,Chicago Cubs,7/18/2023,19:05,28636,Wrigley Field,2:50,https://www.baseball-reference.com//boxes/CHN/CHN202307180.shtml
Washington Nationals,Chicago Cubs,7/19/2023,19:05,28197,Wrigley Field,2:55,https://www.baseball-reference.com//boxes/CHN/CHN202307190.shtml
St. Louis Cardinals,Chicago Cubs,7/20/2023,19:05,34251,Wrigley Field,2:58,https://www.baseball-reference.com//boxes/CHN/CHN202307200.shtml
St. Louis Cardinals,Chicago Cubs,7/21/2023,13:20,38819,Wrigley Field,2:48,https://www.baseball-reference.com//boxes/CHN/CHN202307210.shtml
St. Louis Cardinals,Chicago Cubs,7/22/2023,13:20,40425,Wrigley Field,3:15,https://www.baseball-reference.com//boxes/CHN/CHN202307220.shtml
St. Louis Cardinals,Chicago Cubs,7/23/2023,13:20,38223,Wrigley Field,2:33,https://www.baseball-reference.com//boxes/CHN/CHN202307230.shtml
Cincinnati Reds,Chicago Cubs,7/31/2023,19:05,34688,Wrigley Field,2:51,https://www.baseball-reference.com//boxes/CHN/CHN202307310.shtml
Cincinnati Reds,Chicago Cubs,8/1/2023,19:05,33452,Wrigley Field,2:54,https://www.baseball-reference.com//boxes/CHN/CHN202308010.shtml
Cincinnati Reds,Chicago Cubs,8/2/2023,19:05,33991,Wrigley Field,2:55,https://www.baseball-reference.com//boxes/CHN/CHN202308020.shtml
Cincinnati Reds,Chicago Cubs,8/3/2023,19:05,35615,Wrigley Field,2:43,https://www.baseball-reference.com//boxes/CHN/CHN202308030.shtml
Atlanta Braves,Chicago Cubs,8/4/2023,13:20,36225,Wrigley Field,2:09,https://www.baseball-reference.com//boxes/CHN/CHN202308040.shtml
Atlanta Braves,Chicago Cubs,8/5/2023,13:20,40201,Wrigley Field,3:10,https://www.baseball-reference.com//boxes/CHN/CHN202308050.shtml
Atlanta Braves,Chicago Cubs,8/6/2023,13:20,39015,Wrigley Field,2:52,https://www.baseball-reference.com//boxes/CHN/CHN202308060.shtml
Chicago White Sox,Chicago Cubs,8/15/2023,19:05,40389,Wrigley Field,2:42,https://www.baseball-reference.com//boxes/CHN/CHN202308150.shtml
Chicago White Sox,Chicago Cubs,8/16/2023,19:05,40869,Wrigley Field,2:27,https://www.baseball-reference.com//boxes/CHN/CHN202308160.shtml
Kansas City Royals,Chicago Cubs,8/18/2023,13:20,37936,Wrigley Field,2:43,https://www.baseball-reference.com//boxes/CHN/CHN202308180.shtml
Kansas City Royals,Chicago Cubs,8/19/2023,13:20,39525,Wrigley Field,2:34,https://www.baseball-reference.com//boxes/CHN/CHN202308190.shtml
Kansas City Royals,Chicago Cubs,8/20/2023,13:20,36949,Wrigley Field,2:02,https://www.baseball-reference.com//boxes/CHN/CHN202308200.shtml
Milwaukee Brewers,Chicago Cubs,8/28/2023,19:05,35097,Wrigley Field,2:18,https://www.baseball-reference.com//boxes/CHN/CHN202308280.shtml
Milwaukee Brewers,Chicago Cubs,8/29/2023,19:05,33294,Wrigley Field,2:30,https://www.baseball-reference.com//boxes/CHN/CHN202308290.shtml
Milwaukee Brewers,Chicago Cubs,8/30/2023,13:20,31769,Wrigley Field,2:31,https://www.baseball-reference.com//boxes/CHN/CHN202308300.shtml
San Francisco Giants,Chicago Cubs,9/4/2023,13:20,39452,Wrigley Field,1:59,https://www.baseball-reference.com//boxes/CHN/CHN202309040.shtml
San Francisco Giants,Chicago Cubs,9/5/2023,18:40,28684,Wrigley Field,3:11,https://www.baseball-reference.com//boxes/CHN/CHN202309050.shtml
San Francisco Giants,Chicago Cubs,9/6/2023,13:20,27443,Wrigley Field,2:18,https://www.baseball-reference.com//boxes/CHN/CHN202309060.shtml
Arizona Diamondbacks,Chicago Cubs,9/7/2023,18:40,28814,Wrigley Field,2:34,https://www.baseball-reference.com//boxes/CHN/CHN202309070.shtml
Arizona Diamondbacks,Chicago Cubs,9/8/2023,13:20,31846,Wrigley Field,2:16,https://www.baseball-reference.com//boxes/CHN/CHN202309080.shtml
Arizona Diamondbacks,Chicago Cubs,9/9/2023,13:20,40391,Wrigley Field,3:12,https://www.baseball-reference.com//boxes/CHN/CHN202309090.shtml
Arizona Diamondbacks,Chicago Cubs,9/10/2023,13:20,35431,Wrigley Field,2:17,https://www.baseball-reference.com//boxes/CHN/CHN202309100.shtml
Pittsburgh Pirates,Chicago Cubs,9/19/2023,18:40,34202,Wrigley Field,2:38,https://www.baseball-reference.com//boxes/CHN/CHN202309190.shtml
Pittsburgh Pirates,Chicago Cubs,9/20/2023,18:40,31491,Wrigley Field,2:58,https://www.baseball-reference.com//boxes/CHN/CHN202309200.shtml
Pittsburgh Pirates,Chicago Cubs,9/21/2023,18:40,31544,Wrigley Field,3:02,https://www.baseball-reference.com//boxes/CHN/CHN202309210.shtml
Colorado Rockies,Chicago Cubs,9/22/2023,13:20,32150,Wrigley Field,2:38,https://www.baseball-reference.com//boxes/CHN/CHN202309220.shtml
Colorado Rockies,Chicago Cubs,9/23/2023,13:20,38608,Wrigley Field,2:55,https://www.baseball-reference.com//boxes/CHN/CHN202309230.shtml
Colorado Rockies,Chicago Cubs,9/24/2023,13:20,37060,Wrigley Field,2:31,https://www.baseball-reference.com//boxes/CHN/CHN202309240.shtml
