YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,RIDES
2019,3,2019-03-29,16.0,Red Line - North Side,Addison-North Main,4720
2019,3,2019-03-30,16.0,Red Line - North Side,Addison-North Main,40
2019,3,2019-03-31,16.0,Red Line - North Side,Addison-North Main,61
2019,4,2019-04-01,16.0,Red Line - North Side,Addison-North Main,5365
2019,4,2019-04-02,16.0,Red Line - North Side,Addison-North Main,5916
2019,4,2019-04-03,16.0,Red Line - North Side,Addison-North Main,6149
2019,4,2019-04-04,16.0,Red Line - North Side,Addison-North Main,6242
2019,4,2019-04-05,16.0,Red Line - North Side,Addison-North Main,6149
2019,4,2019-04-06,16.0,Red Line - North Side,Addison-North Main,5302
2019,4,2019-04-07,16.0,Red Line - North Side,Addison-North Main,3177
2019,4,2019-04-08,16.0,Red Line - North Side,Addison-North Main,14425
2019,4,2019-04-09,16.0,Red Line - North Side,Addison-North Main,6362
2019,4,2019-04-10,16.0,Red Line - North Side,Addison-North Main,10064
2019,4,2019-04-11,16.0,Red Line - North Side,Addison-North Main,10336
2019,4,2019-04-12,16.0,Red Line - North Side,Addison-North Main,11177
2019,4,2019-04-13,16.0,Red Line - North Side,Addison-North Main,11886
2019,4,2019-04-14,16.0,Red Line - North Side,Addison-North Main,2699
2019,4,2019-04-15,16.0,Red Line - North Side,Addison-North Main,5782
2019,4,2019-04-16,16.0,Red Line - North Side,Addison-North Main,6072
2019,4,2019-04-17,16.0,Red Line - North Side,Addison-North Main,6128
2019,4,2019-04-18,16.0,Red Line - North Side,Addison-North Main,6224
2019,4,2019-04-19,16.0,Red Line - North Side,Addison-North Main,10877
2019,4,2019-04-20,16.0,Red Line - North Side,Addison-North Main,8520
2019,4,2019-04-21,16.0,Red Line - North Side,Addison-North Main,8807
2019,4,2019-04-22,16.0,Red Line - North Side,Addison-North Main,5754
2019,4,2019-04-23,16.0,Red Line - North Side,Addison-North Main,11953
2019,4,2019-04-24,16.0,Red Line - North Side,Addison-North Main,12396
2019,4,2019-04-25,16.0,Red Line - North Side,Addison-North Main,13377
2019,4,2019-04-26,16.0,Red Line - North Side,Addison-North Main,6628
2019,4,2019-04-27,16.0,Red Line - North Side,Addison-North Main,3653
2019,4,2019-04-28,16.0,Red Line - North Side,Addison-North Main,3063
2019,4,2019-04-29,16.0,Red Line - North Side,Addison-North Main,5679
2019,4,2019-04-30,16.0,Red Line - North Side,Addison-North Main,5829
2019,5,2019-05-01,16.0,Red Line - North Side,Addison-North Main,6378
2019,5,2019-05-02,16.0,Red Line - North Side,Addison-North Main,6330
2019,5,2019-05-03,16.0,Red Line - North Side,Addison-North Main,13137
2019,5,2019-05-04,16.0,Red Line - North Side,Addison-North Main,11843
2019,5,2019-05-05,16.0,Red Line - North Side,Addison-North Main,10036
2019,5,2019-05-06,16.0,Red Line - North Side,Addison-North Main,11210
2019,5,2019-05-07,16.0,Red Line - North Side,Addison-North Main,10421
2019,5,2019-05-08,16.0,Red Line - North Side,Addison-North Main,10992
2019,5,2019-05-09,16.0,Red Line - North Side,Addison-North Main,11056
2019,5,2019-05-10,16.0,Red Line - North Side,Addison-North Main,14016
2019,5,2019-05-11,16.0,Red Line - North Side,Addison-North Main,12318
2019,5,2019-05-12,16.0,Red Line - North Side,Addison-North Main,7398
2019,5,2019-05-13,16.0,Red Line - North Side,Addison-North Main,6030
2019,5,2019-05-14,16.0,Red Line - North Side,Addison-North Main,6439
2019,5,2019-05-15,16.0,Red Line - North Side,Addison-North Main,6566
2019,5,2019-05-16,16.0,Red Line - North Side,Addison-North Main,6349
2019,5,2019-05-17,16.0,Red Line - North Side,Addison-North Main,6400
2019,5,2019-05-18,16.0,Red Line - North Side,Addison-North Main,4761
2019,5,2019-05-19,16.0,Red Line - North Side,Addison-North Main,3600
2019,5,2019-05-20,16.0,Red Line - North Side,Addison-North Main,10735
2019,5,2019-05-21,16.0,Red Line - North Side,Addison-North Main,9805
2019,5,2019-05-22,16.0,Red Line - North Side,Addison-North Main,11341
2019,5,2019-05-23,16.0,Red Line - North Side,Addison-North Main,12139
2019,5,2019-05-24,16.0,Red Line - North Side,Addison-North Main,10810
2019,5,2019-05-25,16.0,Red Line - North Side,Addison-North Main,9890
2019,5,2019-05-26,16.0,Red Line - North Side,Addison-North Main,12251
2019,5,2019-05-27,16.0,Red Line - North Side,Addison-North Main,2641
2019,5,2019-05-28,16.0,Red Line - North Side,Addison-North Main,6060
2019,5,2019-05-29,16.0,Red Line - North Side,Addison-North Main,6386
2019,5,2019-05-30,16.0,Red Line - North Side,Addison-North Main,6759
2019,5,2019-05-31,16.0,Red Line - North Side,Addison-North Main,6808
2019,6,2019-06-01,16.0,Red Line - North Side,Addison-North Main,5059
2019,6,2019-06-02,16.0,Red Line - North Side,Addison-North Main,4123
2019,6,2019-06-03,16.0,Red Line - North Side,Addison-North Main,12676
2019,6,2019-06-04,16.0,Red Line - North Side,Addison-North Main,12273
2019,6,2019-06-05,16.0,Red Line - North Side,Addison-North Main,12881
2019,6,2019-06-06,16.0,Red Line - North Side,Addison-North Main,14041
2019,6,2019-06-07,16.0,Red Line - North Side,Addison-North Main,15802
2019,6,2019-06-08,16.0,Red Line - North Side,Addison-North Main,13512
2019,6,2019-06-09,16.0,Red Line - North Side,Addison-North Main,10553
2019,6,2019-06-10,16.0,Red Line - North Side,Addison-North Main,6417
2019,6,2019-06-11,16.0,Red Line - North Side,Addison-North Main,6677
2019,6,2019-06-12,16.0,Red Line - North Side,Addison-North Main,6515
2019,6,2019-06-13,16.0,Red Line - North Side,Addison-North Main,6888
2019,6,2019-06-14,16.0,Red Line - North Side,Addison-North Main,13213
2019,6,2019-06-15,16.0,Red Line - North Side,Addison-North Main,12001
2019,6,2019-06-16,16.0,Red Line - North Side,Addison-North Main,4721
2019,6,2019-06-17,16.0,Red Line - North Side,Addison-North Main,6397
2019,6,2019-06-18,16.0,Red Line - North Side,Addison-North Main,14322
2019,6,2019-06-19,16.0,Red Line - North Side,Addison-North Main,14185
2019,6,2019-06-20,16.0,Red Line - North Side,Addison-North Main,14181
2019,6,2019-06-21,16.0,Red Line - North Side,Addison-North Main,16661
2019,6,2019-06-22,16.0,Red Line - North Side,Addison-North Main,19820
2019,6,2019-06-23,16.0,Red Line - North Side,Addison-North Main,13795
2019,6,2019-06-24,16.0,Red Line - North Side,Addison-North Main,13543
2019,6,2019-06-25,16.0,Red Line - North Side,Addison-North Main,13242
2019,6,2019-06-26,16.0,Red Line - North Side,Addison-North Main,14798
2019,6,2019-06-27,16.0,Red Line - North Side,Addison-North Main,15849
2019,6,2019-06-28,16.0,Red Line - North Side,Addison-North Main,6574
2019,6,2019-06-29,16.0,Red Line - North Side,Addison-North Main,5215
2019,6,2019-06-30,16.0,Red Line - North Side,Addison-North Main,15800
2019,7,2019-07-01,16.0,Red Line - North Side,Addison-North Main,6263
2019,7,2019-07-02,16.0,Red Line - North Side,Addison-North Main,6217
2019,7,2019-07-03,16.0,Red Line - North Side,Addison-North Main,5992
2019,7,2019-07-04,16.0,Red Line - North Side,Addison-North Main,3968
2019,7,2019-07-05,16.0,Red Line - North Side,Addison-North Main,4881
2019,7,2019-07-06,16.0,Red Line - North Side,Addison-North Main,5067
2019,7,2019-07-07,16.0,Red Line - North Side,Addison-North Main,3678
2019,7,2019-07-08,16.0,Red Line - North Side,Addison-North Main,5866
2019,7,2019-07-09,16.0,Red Line - North Side,Addison-North Main,6363
2019,7,2019-07-10,16.0,Red Line - North Side,Addison-North Main,6488
2019,7,2019-07-11,16.0,Red Line - North Side,Addison-North Main,6649
2019,7,2019-07-12,16.0,Red Line - North Side,Addison-North Main,16156
2019,7,2019-07-13,16.0,Red Line - North Side,Addison-North Main,13029
2019,7,2019-07-14,16.0,Red Line - North Side,Addison-North Main,11968
2019,7,2019-07-15,16.0,Red Line - North Side,Addison-North Main,12974
2019,7,2019-07-16,16.0,Red Line - North Side,Addison-North Main,13957
2019,7,2019-07-17,16.0,Red Line - North Side,Addison-North Main,14502
2019,7,2019-07-18,16.0,Red Line - North Side,Addison-North Main,6427
2019,7,2019-07-19,16.0,Red Line - North Side,Addison-North Main,15414
2019,7,2019-07-20,16.0,Red Line - North Side,Addison-North Main,13885
2019,7,2019-07-21,16.0,Red Line - North Side,Addison-North Main,12350
2019,7,2019-07-22,16.0,Red Line - North Side,Addison-North Main,6287
2019,7,2019-07-23,16.0,Red Line - North Side,Addison-North Main,6542
2019,7,2019-07-24,16.0,Red Line - North Side,Addison-North Main,6555
2019,7,2019-07-25,16.0,Red Line - North Side,Addison-North Main,6479
2019,7,2019-07-26,16.0,Red Line - North Side,Addison-North Main,6776
2019,7,2019-07-27,16.0,Red Line - North Side,Addison-North Main,6887
2019,7,2019-07-28,16.0,Red Line - North Side,Addison-North Main,4017
2019,7,2019-07-29,16.0,Red Line - North Side,Addison-North Main,5699
2019,7,2019-07-30,16.0,Red Line - North Side,Addison-North Main,6709
2019,7,2019-07-31,16.0,Red Line - North Side,Addison-North Main,6521
2019,8,2019-08-01,16.0,Red Line - North Side,Addison-North Main,7267
2019,8,2019-08-02,16.0,Red Line - North Side,Addison-North Main,17102
2019,8,2019-08-03,16.0,Red Line - North Side,Addison-North Main,14590
2019,8,2019-08-04,16.0,Red Line - North Side,Addison-North Main,12997
2019,8,2019-08-05,16.0,Red Line - North Side,Addison-North Main,14351
2019,8,2019-08-06,16.0,Red Line - North Side,Addison-North Main,14974
2019,8,2019-08-07,16.0,Red Line - North Side,Addison-North Main,15712
2019,8,2019-08-08,16.0,Red Line - North Side,Addison-North Main,6718
2019,8,2019-08-09,16.0,Red Line - North Side,Addison-North Main,7016
2019,8,2019-08-10,16.0,Red Line - North Side,Addison-North Main,8356
2019,8,2019-08-11,16.0,Red Line - North Side,Addison-North Main,6494
2019,8,2019-08-12,16.0,Red Line - North Side,Addison-North Main,5935
2019,8,2019-08-13,16.0,Red Line - North Side,Addison-North Main,6126
2019,8,2019-08-14,16.0,Red Line - North Side,Addison-North Main,6284
2019,8,2019-08-15,16.0,Red Line - North Side,Addison-North Main,6380
2019,8,2019-08-16,16.0,Red Line - North Side,Addison-North Main,6254
2019,8,2019-08-17,16.0,Red Line - North Side,Addison-North Main,4739
2019,8,2019-08-18,16.0,Red Line - North Side,Addison-North Main,3606
2019,8,2019-08-19,16.0,Red Line - North Side,Addison-North Main,5901
2019,8,2019-08-20,16.0,Red Line - North Side,Addison-North Main,12577
2019,8,2019-08-21,16.0,Red Line - North Side,Addison-North Main,13707
2019,8,2019-08-22,16.0,Red Line - North Side,Addison-North Main,13996
2019,8,2019-08-23,16.0,Red Line - North Side,Addison-North Main,15812
2019,8,2019-08-24,16.0,Red Line - North Side,Addison-North Main,13890
2019,8,2019-08-25,16.0,Red Line - North Side,Addison-North Main,11713
2019,8,2019-08-26,16.0,Red Line - North Side,Addison-North Main,5651
2019,8,2019-08-27,16.0,Red Line - North Side,Addison-North Main,6127
2019,8,2019-08-28,16.0,Red Line - North Side,Addison-North Main,6170
2019,8,2019-08-29,16.0,Red Line - North Side,Addison-North Main,6471
2019,8,2019-08-30,16.0,Red Line - North Side,Addison-North Main,14335
2019,8,2019-08-31,16.0,Red Line - North Side,Addison-North Main,10152
2019,9,2019-09-01,16.0,Red Line - North Side,Addison-North Main,12842
2019,9,2019-09-02,16.0,Red Line - North Side,Addison-North Main,10547
2019,9,2019-09-03,16.0,Red Line - North Side,Addison-North Main,11864
2019,9,2019-09-04,16.0,Red Line - North Side,Addison-North Main,6813
2019,9,2019-09-05,16.0,Red Line - North Side,Addison-North Main,6963
2019,9,2019-09-06,16.0,Red Line - North Side,Addison-North Main,6764
2019,9,2019-09-07,16.0,Red Line - North Side,Addison-North Main,4952
2019,9,2019-09-08,16.0,Red Line - North Side,Addison-North Main,3536
