YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,RIDES
2019,2,2019-02-13,185.0,Orange Line,Midway Airport,7733
2019,2,2019-02-14,55.0,Blue Line - O'Hare,O'Hare Airport,10484
2019,2,2019-02-14,185.0,Orange Line,Midway Airport,8092
2019,2,2019-02-15,55.0,Blue Line - O'Hare,O'Hare Airport,11185
2019,2,2019-02-15,185.0,Orange Line,Midway Airport,7929
2019,2,2019-02-16,55.0,Blue Line - O'Hare,O'Hare Airport,7630
2019,2,2019-02-16,185.0,Orange Line,Midway Airport,3198
2019,2,2019-02-17,55.0,Blue Line - O'Hare,O'Hare Airport,6977
2019,2,2019-02-17,185.0,Orange Line,Midway Airport,2350
2019,2,2019-02-18,55.0,Blue Line - O'Hare,O'Hare Airport,10986
2019,2,2019-02-18,185.0,Orange Line,Midway Airport,5847
2019,2,2019-02-19,55.0,Blue Line - O'Hare,O'Hare Airport,9666
2019,2,2019-02-19,185.0,Orange Line,Midway Airport,8100
2019,2,2019-02-20,55.0,Blue Line - O'Hare,O'Hare Airport,8681
2019,2,2019-02-20,185.0,Orange Line,Midway Airport,7565
2019,2,2019-02-21,55.0,Blue Line - O'Hare,O'Hare Airport,10246
2019,2,2019-02-21,185.0,Orange Line,Midway Airport,8157
2019,2,2019-02-22,55.0,Blue Line - O'Hare,O'Hare Airport,10495
2019,2,2019-02-22,185.0,Orange Line,Midway Airport,7844
2019,2,2019-02-23,55.0,Blue Line - O'Hare,O'Hare Airport,6967
2019,2,2019-02-23,185.0,Orange Line,Midway Airport,2881
2019,2,2019-02-24,55.0,Blue Line - O'Hare,O'Hare Airport,8470
2019,2,2019-02-24,185.0,Orange Line,Midway Airport,2203
2019,2,2019-02-25,55.0,Blue Line - O'Hare,O'Hare Airport,10004
2019,2,2019-02-25,185.0,Orange Line,Midway Airport,7823
2019,2,2019-02-26,55.0,Blue Line - O'Hare,O'Hare Airport,8791
2019,2,2019-02-26,185.0,Orange Line,Midway Airport,7512
2019,2,2019-02-27,55.0,Blue Line - O'Hare,O'Hare Airport,8800
2019,2,2019-02-27,185.0,Orange Line,Midway Airport,7665
2019,2,2019-02-28,55.0,Blue Line - O'Hare,O'Hare Airport,9964
2019,2,2019-02-28,185.0,Orange Line,Midway Airport,7607
2019,3,2019-03-01,55.0,Blue Line - O'Hare,O'Hare Airport,10968
2019,3,2019-03-01,185.0,Orange Line,Midway Airport,7465
2019,3,2019-03-02,55.0,Blue Line - O'Hare,O'Hare Airport,7762
2019,3,2019-03-02,185.0,Orange Line,Midway Airport,3109
2019,3,2019-03-03,55.0,Blue Line - O'Hare,O'Hare Airport,9041
2019,3,2019-03-03,185.0,Orange Line,Midway Airport,2559
2019,3,2019-03-04,55.0,Blue Line - O'Hare,O'Hare Airport,9690
2019,3,2019-03-04,185.0,Orange Line,Midway Airport,7155
2019,3,2019-03-05,55.0,Blue Line - O'Hare,O'Hare Airport,9056
2019,3,2019-03-05,185.0,Orange Line,Midway Airport,7483
2019,3,2019-03-06,55.0,Blue Line - O'Hare,O'Hare Airport,9209
2019,3,2019-03-06,185.0,Orange Line,Midway Airport,7663
2019,3,2019-03-07,55.0,Blue Line - O'Hare,O'Hare Airport,10067
2019,3,2019-03-07,185.0,Orange Line,Midway Airport,7861
2019,3,2019-03-08,55.0,Blue Line - O'Hare,O'Hare Airport,10756
2019,3,2019-03-08,185.0,Orange Line,Midway Airport,7877
2019,3,2019-03-09,55.0,Blue Line - O'Hare,O'Hare Airport,7786
2019,3,2019-03-09,185.0,Orange Line,Midway Airport,3307
2019,3,2019-03-10,55.0,Blue Line - O'Hare,O'Hare Airport,9013
2019,3,2019-03-10,185.0,Orange Line,Midway Airport,2737
2019,3,2019-03-11,55.0,Blue Line - O'Hare,O'Hare Airport,10814
2019,3,2019-03-11,185.0,Orange Line,Midway Airport,7965
2019,3,2019-03-12,55.0,Blue Line - O'Hare,O'Hare Airport,8008
2019,3,2019-03-12,185.0,Orange Line,Midway Airport,7977
2019,3,2019-03-13,55.0,Blue Line - O'Hare,O'Hare Airport,9413
2019,3,2019-03-13,185.0,Orange Line,Midway Airport,7885
2019,3,2019-03-14,55.0,Blue Line - O'Hare,O'Hare Airport,11424
2019,3,2019-03-14,185.0,Orange Line,Midway Airport,8376
2019,3,2019-03-15,55.0,Blue Line - O'Hare,O'Hare Airport,14877
2019,3,2019-03-15,185.0,Orange Line,Midway Airport,9085
2019,3,2019-03-16,55.0,Blue Line - O'Hare,O'Hare Airport,8914
2019,3,2019-03-16,185.0,Orange Line,Midway Airport,5711
2019,3,2019-03-17,55.0,Blue Line - O'Hare,O'Hare Airport,9290
2019,3,2019-03-17,185.0,Orange Line,Midway Airport,2936
2019,3,2019-03-18,55.0,Blue Line - O'Hare,O'Hare Airport,10964
2019,3,2019-03-18,185.0,Orange Line,Midway Airport,8111
2019,3,2019-03-19,55.0,Blue Line - O'Hare,O'Hare Airport,9457
2019,3,2019-03-19,185.0,Orange Line,Midway Airport,7914
2019,3,2019-03-20,55.0,Blue Line - O'Hare,O'Hare Airport,9601
2019,3,2019-03-20,185.0,Orange Line,Midway Airport,7842
2019,3,2019-03-21,55.0,Blue Line - O'Hare,O'Hare Airport,10714
2019,3,2019-03-21,185.0,Orange Line,Midway Airport,8253
2019,3,2019-03-22,55.0,Blue Line - O'Hare,O'Hare Airport,11365
2019,3,2019-03-22,185.0,Orange Line,Midway Airport,8101
2019,3,2019-03-23,55.0,Blue Line - O'Hare,O'Hare Airport,8563
2019,3,2019-03-23,185.0,Orange Line,Midway Airport,3837
2019,3,2019-03-24,55.0,Blue Line - O'Hare,O'Hare Airport,9318
2019,3,2019-03-24,185.0,Orange Line,Midway Airport,3150
2019,3,2019-03-25,55.0,Blue Line - O'Hare,O'Hare Airport,10673
2019,3,2019-03-25,185.0,Orange Line,Midway Airport,7613
2019,3,2019-03-26,55.0,Blue Line - O'Hare,O'Hare Airport,9459
2019,3,2019-03-26,185.0,Orange Line,Midway Airport,7782
2019,3,2019-03-27,55.0,Blue Line - O'Hare,O'Hare Airport,9996
2019,3,2019-03-27,185.0,Orange Line,Midway Airport,7931
2019,3,2019-03-28,55.0,Blue Line - O'Hare,O'Hare Airport,10633
2019,3,2019-03-28,185.0,Orange Line,Midway Airport,7895
2019,3,2019-03-29,55.0,Blue Line - O'Hare,O'Hare Airport,11066
2019,3,2019-03-29,185.0,Orange Line,Midway Airport,7907
2019,3,2019-03-30,55.0,Blue Line - O'Hare,O'Hare Airport,7580
2019,3,2019-03-30,185.0,Orange Line,Midway Airport,3443
2019,3,2019-03-31,55.0,Blue Line - O'Hare,O'Hare Airport,9350
2019,3,2019-03-31,185.0,Orange Line,Midway Airport,2973
2019,4,2019-04-01,55.0,Blue Line - O'Hare,O'Hare Airport,11269
2019,4,2019-04-01,185.0,Orange Line,Midway Airport,8318
2019,4,2019-04-02,55.0,Blue Line - O'Hare,O'Hare Airport,10224
2019,4,2019-04-02,185.0,Orange Line,Midway Airport,8109
2019,4,2019-04-03,55.0,Blue Line - O'Hare,O'Hare Airport,10692
2019,4,2019-04-03,185.0,Orange Line,Midway Airport,8297
2019,4,2019-04-04,55.0,Blue Line - O'Hare,O'Hare Airport,11930
2019,4,2019-04-04,185.0,Orange Line,Midway Airport,8349
2019,4,2019-04-05,55.0,Blue Line - O'Hare,O'Hare Airport,12293
2019,4,2019-04-05,185.0,Orange Line,Midway Airport,8175
2019,4,2019-04-06,55.0,Blue Line - O'Hare,O'Hare Airport,8208
2019,4,2019-04-06,185.0,Orange Line,Midway Airport,3841
2019,4,2019-04-07,55.0,Blue Line - O'Hare,O'Hare Airport,10082
2019,4,2019-04-07,185.0,Orange Line,Midway Airport,3031
2019,4,2019-04-08,55.0,Blue Line - O'Hare,O'Hare Airport,12150
2019,4,2019-04-08,185.0,Orange Line,Midway Airport,8896
2019,4,2019-04-09,55.0,Blue Line - O'Hare,O'Hare Airport,10622
2019,4,2019-04-09,185.0,Orange Line,Midway Airport,8341
2019,4,2019-04-10,55.0,Blue Line - O'Hare,O'Hare Airport,8096
2019,4,2019-04-10,185.0,Orange Line,Midway Airport,8494
2019,4,2019-04-11,55.0,Blue Line - O'Hare,O'Hare Airport,11657
2019,4,2019-04-11,185.0,Orange Line,Midway Airport,8522
2019,4,2019-04-12,55.0,Blue Line - O'Hare,O'Hare Airport,11942
2019,4,2019-04-12,185.0,Orange Line,Midway Airport,8618
2019,4,2019-04-13,55.0,Blue Line - O'Hare,O'Hare Airport,8519
2019,4,2019-04-13,185.0,Orange Line,Midway Airport,3824
2019,4,2019-04-14,55.0,Blue Line - O'Hare,O'Hare Airport,7941
2019,4,2019-04-14,185.0,Orange Line,Midway Airport,2231
2019,4,2019-04-15,55.0,Blue Line - O'Hare,O'Hare Airport,11928
2019,4,2019-04-15,185.0,Orange Line,Midway Airport,8117
2019,4,2019-04-16,55.0,Blue Line - O'Hare,O'Hare Airport,10910
2019,4,2019-04-16,185.0,Orange Line,Midway Airport,7772
2019,4,2019-04-17,55.0,Blue Line - O'Hare,O'Hare Airport,10740
2019,4,2019-04-17,185.0,Orange Line,Midway Airport,7701
2019,4,2019-04-18,55.0,Blue Line - O'Hare,O'Hare Airport,12932
2019,4,2019-04-18,185.0,Orange Line,Midway Airport,8158
2019,4,2019-04-19,55.0,Blue Line - O'Hare,O'Hare Airport,11815
2019,4,2019-04-19,185.0,Orange Line,Midway Airport,7036
2019,4,2019-04-20,55.0,Blue Line - O'Hare,O'Hare Airport,8485
2019,4,2019-04-20,185.0,Orange Line,Midway Airport,3602
2019,4,2019-04-21,55.0,Blue Line - O'Hare,O'Hare Airport,11617
2019,4,2019-04-21,185.0,Orange Line,Midway Airport,3548
2019,4,2019-04-22,55.0,Blue Line - O'Hare,O'Hare Airport,12694
2019,4,2019-04-22,185.0,Orange Line,Midway Airport,8880
2019,4,2019-04-23,55.0,Blue Line - O'Hare,O'Hare Airport,10945
2019,4,2019-04-23,185.0,Orange Line,Midway Airport,8568
2019,4,2019-04-24,55.0,Blue Line - O'Hare,O'Hare Airport,10904
2019,4,2019-04-24,185.0,Orange Line,Midway Airport,8535
2019,4,2019-04-25,55.0,Blue Line - O'Hare,O'Hare Airport,11923
2019,4,2019-04-25,185.0,Orange Line,Midway Airport,8784
2019,4,2019-04-26,55.0,Blue Line - O'Hare,O'Hare Airport,12401
2019,4,2019-04-26,185.0,Orange Line,Midway Airport,8574
2019,4,2019-04-27,55.0,Blue Line - O'Hare,O'Hare Airport,8004
2019,4,2019-04-27,185.0,Orange Line,Midway Airport,2866
2019,4,2019-04-28,55.0,Blue Line - O'Hare,O'Hare Airport,10661
2019,4,2019-04-28,185.0,Orange Line,Midway Airport,3308
2019,4,2019-04-29,55.0,Blue Line - O'Hare,O'Hare Airport,11395
2019,4,2019-04-29,185.0,Orange Line,Midway Airport,8058
2019,4,2019-04-30,55.0,Blue Line - O'Hare,O'Hare Airport,9398
2019,4,2019-04-30,185.0,Orange Line,Midway Airport,7912
2019,5,2019-05-01,55.0,Blue Line - O'Hare,O'Hare Airport,10755
2019,5,2019-05-01,185.0,Orange Line,Midway Airport,8027
2019,5,2019-05-02,55.0,Blue Line - O'Hare,O'Hare Airport,12358
2019,5,2019-05-02,185.0,Orange Line,Midway Airport,8574
2019,5,2019-05-03,55.0,Blue Line - O'Hare,O'Hare Airport,13095
2019,5,2019-05-03,185.0,Orange Line,Midway Airport,8896
2019,5,2019-05-04,55.0,Blue Line - O'Hare,O'Hare Airport,9014
2019,5,2019-05-04,185.0,Orange Line,Midway Airport,4108
2019,5,2019-05-05,55.0,Blue Line - O'Hare,O'Hare Airport,10381
2019,5,2019-05-05,185.0,Orange Line,Midway Airport,3656
2019,5,2019-05-06,55.0,Blue Line - O'Hare,O'Hare Airport,11763
2019,5,2019-05-06,185.0,Orange Line,Midway Airport,8565
2019,5,2019-05-07,55.0,Blue Line - O'Hare,O'Hare Airport,10657
2019,5,2019-05-07,185.0,Orange Line,Midway Airport,8320
2019,5,2019-05-08,55.0,Blue Line - O'Hare,O'Hare Airport,11073
2019,5,2019-05-08,185.0,Orange Line,Midway Airport,8477
2019,5,2019-05-09,55.0,Blue Line - O'Hare,O'Hare Airport,12880
2019,5,2019-05-09,185.0,Orange Line,Midway Airport,8811
2019,5,2019-05-10,55.0,Blue Line - O'Hare,O'Hare Airport,14114
2019,5,2019-05-10,185.0,Orange Line,Midway Airport,9032
2019,5,2019-05-11,55.0,Blue Line - O'Hare,O'Hare Airport,10257
2019,5,2019-05-11,185.0,Orange Line,Midway Airport,4062
2019,5,2019-05-12,55.0,Blue Line - O'Hare,O'Hare Airport,11867
2019,5,2019-05-12,185.0,Orange Line,Midway Airport,3545
2019,5,2019-05-13,55.0,Blue Line - O'Hare,O'Hare Airport,12682
2019,5,2019-05-13,185.0,Orange Line,Midway Airport,8279
2019,5,2019-05-14,55.0,Blue Line - O'Hare,O'Hare Airport,11018
2019,5,2019-05-14,185.0,Orange Line,Midway Airport,8003
2019,5,2019-05-15,55.0,Blue Line - O'Hare,O'Hare Airport,11338
2019,5,2019-05-15,185.0,Orange Line,Midway Airport,8189
2019,5,2019-05-16,55.0,Blue Line - O'Hare,O'Hare Airport,12894
2019,5,2019-05-16,185.0,Orange Line,Midway Airport,8255
2019,5,2019-05-17,55.0,Blue Line - O'Hare,O'Hare Airport,13957
2019,5,2019-05-17,185.0,Orange Line,Midway Airport,8233
2019,5,2019-05-18,55.0,Blue Line - O'Hare,O'Hare Airport,9507
2019,5,2019-05-18,185.0,Orange Line,Midway Airport,4010
2019,5,2019-05-19,55.0,Blue Line - O'Hare,O'Hare Airport,11032
2019,5,2019-05-19,185.0,Orange Line,Midway Airport,4002
2019,5,2019-05-20,55.0,Blue Line - O'Hare,O'Hare Airport,13230
2019,5,2019-05-20,185.0,Orange Line,Midway Airport,8602
2019,5,2019-05-21,55.0,Blue Line - O'Hare,O'Hare Airport,11806
2019,5,2019-05-21,185.0,Orange Line,Midway Airport,8079
2019,5,2019-05-22,55.0,Blue Line - O'Hare,O'Hare Airport,12022
2019,5,2019-05-22,185.0,Orange Line,Midway Airport,8756
2019,5,2019-05-23,55.0,Blue Line - O'Hare,O'Hare Airport,13830
2019,5,2019-05-23,185.0,Orange Line,Midway Airport,8919
2019,5,2019-05-24,55.0,Blue Line - O'Hare,O'Hare Airport,14875
2019,5,2019-05-24,185.0,Orange Line,Midway Airport,8910
2019,5,2019-05-25,55.0,Blue Line - O'Hare,O'Hare Airport,10427
2019,5,2019-05-25,185.0,Orange Line,Midway Airport,4634
2019,5,2019-05-26,55.0,Blue Line - O'Hare,O'Hare Airport,9412
2019,5,2019-05-26,185.0,Orange Line,Midway Airport,3155
2019,5,2019-05-27,55.0,Blue Line - O'Hare,O'Hare Airport,11892
2019,5,2019-05-27,185.0,Orange Line,Midway Airport,3618
2019,5,2019-05-28,55.0,Blue Line - O'Hare,O'Hare Airport,13677
2019,5,2019-05-28,185.0,Orange Line,Midway Airport,8675
2019,5,2019-05-29,55.0,Blue Line - O'Hare,O'Hare Airport,11589
2019,5,2019-05-29,185.0,Orange Line,Midway Airport,8271
2019,5,2019-05-30,55.0,Blue Line - O'Hare,O'Hare Airport,12601
2019,5,2019-05-30,185.0,Orange Line,Midway Airport,8344
2019,5,2019-05-31,55.0,Blue Line - O'Hare,O'Hare Airport,13436
2019,5,2019-05-31,185.0,Orange Line,Midway Airport,8756
2019,6,2019-06-01,55.0,Blue Line - O'Hare,O'Hare Airport,8548
2019,6,2019-06-01,185.0,Orange Line,Midway Airport,3607
2019,6,2019-06-02,55.0,Blue Line - O'Hare,O'Hare Airport,11129
2019,6,2019-06-02,185.0,Orange Line,Midway Airport,3634
2019,6,2019-06-03,55.0,Blue Line - O'Hare,O'Hare Airport,11898
2019,6,2019-06-03,185.0,Orange Line,Midway Airport,8534
2019,6,2019-06-04,55.0,Blue Line - O'Hare,O'Hare Airport,11559
2019,6,2019-06-04,185.0,Orange Line,Midway Airport,8417
2019,6,2019-06-05,55.0,Blue Line - O'Hare,O'Hare Airport,11529
2019,6,2019-06-05,185.0,Orange Line,Midway Airport,8584
2019,6,2019-06-06,55.0,Blue Line - O'Hare,O'Hare Airport,13389
2019,6,2019-06-06,185.0,Orange Line,Midway Airport,9225
2019,6,2019-06-07,55.0,Blue Line - O'Hare,O'Hare Airport,14065
2019,6,2019-06-07,185.0,Orange Line,Midway Airport,9251
2019,6,2019-06-08,55.0,Blue Line - O'Hare,O'Hare Airport,9462
2019,6,2019-06-08,185.0,Orange Line,Midway Airport,4569
2019,6,2019-06-09,55.0,Blue Line - O'Hare,O'Hare Airport,11182
2019,6,2019-06-09,185.0,Orange Line,Midway Airport,3983
2019,6,2019-06-10,55.0,Blue Line - O'Hare,O'Hare Airport,12077
2019,6,2019-06-10,185.0,Orange Line,Midway Airport,8563
2019,6,2019-06-11,55.0,Blue Line - O'Hare,O'Hare Airport,11313
2019,6,2019-06-11,185.0,Orange Line,Midway Airport,8510
2019,6,2019-06-12,55.0,Blue Line - O'Hare,O'Hare Airport,12682
